1,t,2025-03-05 00:00:00-06,2025-03-05 00:00:00-06,1,7501048100163,,,ACEITE CRISTAL 1LT,f,1339.864,34,40,0,0,0,f,34,0,0,0,f,50151513,H87,f,t,1,1,1,1
2,t,2025-03-05 00:00:00-06,2025-03-05 00:00:00-06,1,7501048100200,,,ACEITE CRISTAL 500ML,f,673,17.2,20,0,0,0,f,17.2,0,0,0,f,50151513,H87,f,t,1,1,1,1
3,t,2025-03-05 00:00:00-06,2025-03-05 00:00:00-06,1,7501048100460,,,ACEITE CRISTAL 5LT PIEZA,f,4839,170.5,201,0,0,0,f,170.5,0,0,0,f,50151513,H87,f,t,1,1,1,1
4,t,2025-03-05 00:00:00-06,2025-03-05 00:00:00-06,1,7501048100248,,,ACEITE CRISTAL 1.5LT,f,-659.5,51,70,0,0,0,f,51,0,0,0,f,50151513,H87,f,t,1,1,1,1
5,t,2025-03-20 00:00:00-06,2025-03-20 00:00:00-06,1,7501032398255,,,ACTIVIA CIRUELA-PASA C/28,f,1860,11.79,13.44,0,0,0,f,11.79,0,0,0,f,50131700,H87,f,f,1,1,1,1
6,t,2025-02-25 00:00:00-06,2025-02-25 00:00:00-06,1,738545010764,,,ADEREZO DE MAYONESA MEGA 3.65KG PZA,f,175,784,148,0,0,0,f,744.8,0,0,0,f,50171830,H87,f,t,1,1,1,1
8,t,2025-03-18 00:00:00-06,2025-03-18 00:00:00-06,1,2000100,950018,118,QUESO ADOBERA FUNDIR SAN JORGE P/KG,t,1094.032,114,129,0,0,0,f,114,0,0,0,f,50131800,KGM,f,f,1,1,1,1
9,t,2025-03-21 00:00:00-06,2025-03-21 00:00:00-06,1,2000101,950019,119,QUESO ADOBERA MESA CREDO P/KG,t,-4856.065,103,117,0,0,0,f,103,0,0,0,f,50131800,KGM,f,f,1,1,1,1
10,t,2025-03-18 00:00:00-06,2025-03-18 00:00:00-06,1,2000102,950020,120,QUESO ADOBERA MESA REDONDA P/KG,t,-564.937,103,117,0,0,0,f,103,0,0,0,f,50131800,KGM,f,f,1,1,1,1
11,t,2025-03-20 00:00:00-06,2025-03-20 00:00:00-06,1,1000101,,,ALITAS BUFALO PRECOSIDA FC 2KG C/12KG,f,-337.718,336,399,0,0,0,f,336,0,0,0,f,50112000,KGM,f,t,1,1,1,1
12,t,2025-03-28 00:00:00-06,2025-03-28 00:00:00-06,1,4000100,,,AROS DE CEBOLLA C/12 BOLSA,f,-1646.4,88.1,105,0,0,0,f,88.1,0,0,0,f,1010101,KGM,f,t,1,1,1,1
13,t,2025-01-21 00:00:00-06,2025-01-21 00:00:00-06,1,7501045401423,,,ATUN EN ACEITE DOLORES 133GRS PZA,f,2574,655.98,20,0,0,0,f,664.43,0,0,0,f,50467007,H87,f,t,1,1,1,1
14,t,2025-01-21 00:00:00-06,2025-01-21 00:00:00-06,1,7501045403144,,,ATUN EN AGUA DOLORES 133GRS PZA,f,926,655.98,20,0,0,0,f,664.43,0,0,0,f,50467007,H87,f,t,1,1,1,1
15,t,2025-03-06 00:00:00-06,2025-03-06 00:00:00-06,1,7503019900062,950050,150,BARRA GOUDA MOJICA,t,-3413.355,118.5,134,0,0,0,f,118.5,0,0,0,f,50131800,KGM,f,f,1,1,1,1
17,t,2025-03-21 00:00:00-06,2025-03-21 00:00:00-06,1,2000103,,,BOLSA CREMA EXTRA 2KG,f,-1179.998,92,105,0,0,0,f,92,0,0,0,f,50131700,H87,f,f,1,1,1,1
18,t,2020-01-27 00:00:00-06,2020-01-27 00:00:00-06,1,2000104,,,BOLSA CREMA REGULAR 2KG,f,-2437.5,56,68,0,0,0,f,18,0,0,0,f,50131700,H87,f,f,1,1,1,1
